"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Jul 28 08:23:20 GMT 2025","Mon Jul 28 08:23:24 GMT 2025","3857","","testsUI.HomePageTests","","testsUI.HomePageTests","checkHomePageUrlAndTitleTest","Check HomePage url",""
"passed","Mon Jul 28 08:20:25 GMT 2025","Mon Jul 28 08:20:26 GMT 2025","541","","tests.AuthorizationApiTests","","tests.AuthorizationApiTests","validAuthResponseTest","Checking valid guest token response",""
"passed","Mon Jul 28 08:20:42 GMT 2025","Mon Jul 28 08:21:04 GMT 2025","21925","","testsUI.BagTests","","testsUI.BagTests","selectFirstItemFromSearchResultsAndAddToTheBag","Select item from search results and add to the bag",""
"passed","Mon Jul 28 08:23:34 GMT 2025","Mon Jul 28 08:23:38 GMT 2025","4175","","testsUI.HomePageTests","","testsUI.HomePageTests","checkSignInAndCreateAccountButtonAreDisplayedOnAccountModal","'Sigh in' and 'Create account' button are visible after clicking on Account icon",""
"passed","Mon Jul 28 08:22:57 GMT 2025","Mon Jul 28 08:23:00 GMT 2025","3859","","testsUI.HomePageTests","","testsUI.HomePageTests","checkLogoIsDisplayedTest","Logo is displayed",""
"passed","Mon Jul 28 08:20:27 GMT 2025","Mon Jul 28 08:20:27 GMT 2025","206","","tests.BagApiTests","","tests.BagApiTests","addItemTest","Checking adding item to the card",""
"passed","Mon Jul 28 08:22:53 GMT 2025","Mon Jul 28 08:22:57 GMT 2025","3799","","testsUI.HomePageTests","","testsUI.HomePageTests","checkSearchIconIsDisplayedTest","Check Search icon is displayed",""
"passed","Mon Jul 28 08:20:27 GMT 2025","Mon Jul 28 08:20:29 GMT 2025","1431","","tests.BagApiTests","","tests.BagApiTests","getListOfItemsTest","Checking getting list of items in the bag",""
"broken","Mon Jul 28 08:23:09 GMT 2025","Mon Jul 28 08:23:20 GMT 2025","11655","","testsUI.HomePageTests","","testsUI.HomePageTests","checkItemsCanBeSelectedFromMainCategory","select subcategory items from main category",""
"passed","Mon Jul 28 08:20:25 GMT 2025","Mon Jul 28 08:20:25 GMT 2025","108","","tests.AuthorizationApiTests","","tests.AuthorizationApiTests","invalidAuthorizationHeaderTest","Checking invalid authorization with wrong header",""
